qname,question,force_resp,type,selector
S0,"<div><span style=""font-size:19px;""><strong>Hello world! </strong></span></div>

<div> </div>

<div>Thank you for taking the 2023 Stack Overflow Developer Survey, the longest running survey of software developers (and anyone else who codes!) on Earth. </div>

<div> </div>

<div>There are seven sections in this survey. The 2nd, 3rd, 4th and 5th sections will appear in a random order.</div><div><br></div>

<div>   1. Basic Information</div>

<div>   2. Education, Work, and Career</div>

<div>   3. Technology and Tech Culture</div>

<div>   4. Stack Overflow Usage + Community</div>

<div>   5. Artificial Intelligence </div>

<div>   6. Professional Developer Series (Optional)</div><div>   7. Final Questions</div>

<div> 
<div>Most questions in this survey are optional. Required questions are marked with *. This anonymous survey will take about 15 minutes to complete. We encourage you to complete it in one sitting.</div><div><br></div>
</div>

<div><strong>If you use security or ad-blocking plugins, you may see error messages</strong></div>

<div>Our third-party software provider, Qualtrics, does not work well with certain ad blockers and security software. To avoid error messages that prevent you from taking the survey, please try specifically unblocking Qualtrics in your plugin or pausing the plugin while you take the survey. </div>

<div> </div>

<div>To begin, click <strong>Next.</strong></div>",FALSE,DB,TB
MetaInfo,Browser Meta Info,FALSE,Meta,Browser
Q310,"<div><span style=""font-size:19px;""><strong>You consent to providing your information to help us stay privacy compliant</strong></span></div>

<div> </div>

<div>Your participation in this survey is completely anonymous.  As in previous years, anonymized results of the survey will be made publicly available under the Open Database License, where anyone can download and analyze the data. On that note, throughout the survey, certain answers you and your peers give will be treated as personally identifiable information, and therefore kept out of the anonymized results file.  The information gathered via this survey is made available to the public in the spirit of community which Stack Overflow was founded and to serve as a resource for everyone who codes. </div><div><br></div><div>By selecting ""I agree"" and submitting this survey, you acknowledge that you voluntarily consent to your anonymous answers being made publicly available.
</div>",FALSE,DB,TB
Q120, ,TRUE,MC,SAVR
S1,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Basic Information</span><br>
<br>
<p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">The first section will focus on some basic information about who you are.<br>
<br>
Most questions in this section are required. Required questions are noted with *.</span></p>",FALSE,DB,TB
MainBranch,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"". *",TRUE,MC,SAVR
Age,What is your age? *,TRUE,MC,MAVR
Employment,Which of the following best describes your current employment status? Select all that apply.,FALSE,MC,MAVR
RemoteWork,Which best describes your current work situation?,FALSE,MC,SAVR
CodingActivities,Which of the following best describes the code you write outside of work? Select all that apply.,FALSE,MC,MAVR
S2,"<span style=""font-size:22px; font-family: arial,helvetica,sans-serif; font-weight: 700;"">Education, work, and career</span><br />
 
<p><span style=""font-size:16px; font-family:arial,helvetica,sans-serif;"">This section will focus on your education, work, and career.<br />
<br />
Most questions in this section are optional. Required questions are noted with *.</span></p>",FALSE,DB,TB
EdLevel,Which of the following best describes the highest level of formal education that you’ve completed? *,TRUE,MC,SAVR
LearnCode,How do you learn to code? Select all that apply.,FALSE,MC,MAVR
LearnCodeOnline,What online resources do you use to learn to code? Select all that apply.,FALSE,MC,MAVR
LearnCodeCoursesCert,What online courses or certifications do you use to learn to code? Select all that apply.,FALSE,MC,MAVR
YearsCode,"Including any education, how many years have you been coding in total?",FALSE,MC,DL
YearsCodePro,"NOT including education, how many years have you coded professionally (as a part of your work)?",FALSE,MC,DL
DevType,"Which of the following describes your current job, the one you do most of the time? Please select only one.",FALSE,MC,SAVR
