Age,Employment,RemoteWork,EdLevel,LearnCodeCoursesCert,YearsCodePro,DevType,OrgSize,Country,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,AISelect,ICorPM,Industry,ConvertedCompYearly,learnedCodeViaBooksPhysicalmedia,learnedCodeViaCodingBootcamp,learnedCodeViaFriendorfamilymember,learnedCodeViaHackathonsvirtualorinperson,learnedCodeViaOnlineCoursesorCertification,learnedCodeViaOnthejobtraining,learnedCodeViaOtheronlineresourcesegvideosblogsforum,learnedCodeViaSchoolieUniversityCollegeetc,languageUsedCfamily,languageUsedHTMLCSS,languageUsedJavafamily,languageUsedJulia,languageUsedMATLAB,languageUsedPython,languageUsedR,languageUsedRuby,languageUsedSQL,languageUsedSwift,languageUsedVBA
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,9,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,United States of America,1,1,1,1,1,1,People manager,"Information Services, IT, Software Development, or other Technology",285000.0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,23,"Developer, back-end","5,000 to 9,999 employees",United States of America,0,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",250000.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,3,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",135000.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,Less than 1 year,"Developer, QA or test","10,000 or more employees",United States of America,1,0,0,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",150000.0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,1,15,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",130000.0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,1,2,System administrator,100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",63000.0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,System administrator,500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",200990.0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,7,"Developer, full-stack",10 to 19 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",120000.0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,7,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,0,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",240000.0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,25,Cloud infrastructure engineer,20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Oil & Gas,150000.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
